symbol,company_name,fiscal_year,net_profit_margin_pct,expense_ratio_pct,debt_to_equity,free_cash_flow,net_profit,profitability_score,expense_score,debt_score,cashflow_score,health_score,health_category,dividend_payout,overall_score,leverage_score,dividend_score,growth_score,trend_score
ABB,Abbott India Ltd,2024,20.53342451701145,75.15814669174217,0.0224384968910516,797.0,1201,25,18,25,25,93,STRONG,73.0,93,25,20,20,20
ADANIENSOL,Adani Energy Solutions Ltd,2024,7.201782380923707,65.61088697537183,2.93252116130053,1095.0,1196,10,18,8,25,61,WEAK,0.0,61,8,6,8,20
ADANIENT,Adani Enterprises Ltd,2024,3.458790097592848,88.2007031663227,1.671358378544375,-8455.0,3335,10,10,18,10,48,WEAK,5.0,48,18,6,8,8
ADANIGREEN,Adani Green Energy Ltd,2024,13.665943600867678,20.629067245119305,6.595281675818589,-13347.0,1260,18,25,8,10,61,WEAK,0.0,61,8,6,14,8
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,2024,30.33956048070084,41.63453258956984,0.937322369168972,8250.0,8104,25,25,25,25,100,STRONG,16.0,100,25,12,20,20
ADANIPOWER,Adani Power Ltd,2024,41.36759945184802,63.80012313558817,0.8023177656738903,17651.0,20829,25,18,25,25,93,STRONG,0.0,93,25,6,20,20
AMBUJACEM,Ambuja Cements Ltd,2024,14.288299155609169,80.69963811821471,0.0168612504824392,-3295.0,4738,18,10,25,10,63,WEAK,12.0,63,25,12,14,8
APOLLOHOSP,Apollo Hospitals Chain of Indian private hospitals,2024,4.905818773282963,87.43900519439634,0.7688869665513264,383.0,935,10,10,25,25,70,MODERATE,26.0,70,25,12,8,20
ASIANPAINT,Asian Paints Indian Multi-National Paint and Coating Manufacturing Company,2024,15.658543456824903,78.6307930694464,0.1321016659547202,3556.0,5558,18,18,25,25,86,STRONG,58.0,86,25,20,14,20
ATGL,Adani Total Gas Ltd,2024,14.927374301675975,75.3296089385475,0.4349162011173184,1344.0,668,18,18,25,25,86,STRONG,4.0,86,25,6,14,20
BAJAJ-AUTO,Bajaj Auto Ltd,2024,17.178515712057056,80.46801872074883,0.0660175402251225,6486.0,7708,18,10,25,25,78,MODERATE,29.0,78,25,12,14,20
AXISBANK,Axis Bank Ltd,2024,22.73130411725443,54.37921165961104,8.249122739980766,-14556.0,24861,25,25,8,10,68,MODERATE,1.0,68,8,6,20,8
BAJAJFINSV,Bajaj Finserv Ltd,2024,14.128209309488865,62.96044644960229,4.789368120938867,-79634.0,15595,18,18,8,10,54,WEAK,2.0,54,8,6,14,8
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,2024,432.7262044653349,8.225616921269095,0.0011613545449517,1469.0,7365,25,25,25,25,100,STRONG,20.0,100,25,12,20,20
