symbol,overall_score,profitability_score,growth_score,leverage_score,cashflow_score,dividend_score,trend_score,health_label
ABB,93,25,20,25,25,20,20,STRONG
ADANIENSOL,61,10,8,8,25,6,20,WEAK
ADANIENT,48,10,8,18,10,6,8,WEAK
ADANIGREEN,61,18,14,8,10,6,8,WEAK
ADANIPORTS,100,25,20,25,25,12,20,STRONG
ADANIPOWER,93,25,20,25,25,6,20,STRONG
AMBUJACEM,63,18,14,25,10,12,8,WEAK
APOLLOHOSP,70,10,8,25,25,12,20,MODERATE
ASIANPAINT,86,18,14,25,25,20,20,STRONG
ATGL,86,18,14,25,25,6,20,STRONG
BAJAJ-AUTO,78,18,14,25,25,12,20,MODERATE
AXISBANK,68,25,20,8,10,6,8,MODERATE
BAJAJFINSV,54,18,14,8,10,6,8,WEAK
BAJAJHLDNG,100,25,20,25,25,12,20,STRONG
BAJFINANCE,68,25,20,8,10,12,8,MODERATE
BANKBARODA,61,18,14,8,10,12,8,WEAK
BHARTIARTL,68,10,8,8,25,20,20,MODERATE
BEL,71,18,14,25,10,20,8,MODERATE
BHEL,55,10,8,25,10,20,8,WEAK
BOSCHLTD,78,18,14,25,25,20,20,MODERATE
BPCL,70,10,8,25,25,20,20,MODERATE
BRITANNIA,78,18,14,25,25,20,20,MODERATE
CANBK,69,18,14,8,25,12,20,MODERATE
CHOLAFIN,61,18,14,8,10,6,8,WEAK
CIPLA,93,18,14,25,25,12,20,STRONG
COALINDIA,100,25,20,25,25,20,20,STRONG
DABUR,78,18,14,25,25,20,20,MODERATE
DIVISLAB,93,25,20,25,25,20,20,STRONG
DLF,93,25,20,25,25,20,20,STRONG
DMART,70,10,8,25,25,6,20,MODERATE
DRREDDY,86,18,14,25,25,12,20,STRONG
EICHERMOT,93,25,20,25,25,20,20,STRONG
GAIL,70,10,8,25,25,20,20,MODERATE
GODREJCP,63,10,8,25,10,6,8,WEAK
GRASIM,56,10,8,18,10,12,8,WEAK
HAL,93,25,20,25,25,20,20,STRONG
HAVELLS,70,10,8,25,25,20,20,MODERATE
HCLTECH,86,18,14,25,25,20,20,STRONG
HDFCBANK,83,25,20,8,25,12,20,MODERATE
HDFCLIFE,70,10,8,25,10,12,8,MODERATE
HEROMOTOCO,85,10,8,25,25,20,20,STRONG
HINDALCO,85,10,8,25,25,6,20,STRONG
HINDUNILVR,93,18,14,25,25,20,20,STRONG
ICICIBANK,83,25,20,8,25,12,20,MODERATE
ICICIGI,85,10,8,25,25,12,20,STRONG
ICICIPRULI,85,10,8,25,25,12,20,STRONG
INDUSINDBK,61,18,14,8,10,12,8,WEAK
INFY,86,18,14,25,25,6,20,STRONG
IOC,70,10,8,25,25,20,20,MODERATE
IRCTC,93,25,20,25,25,20,20,STRONG
IRFC,83,25,20,8,25,20,20,MODERATE
ITC,93,25,20,25,25,20,20,STRONG
JINDALSTEL,71,18,14,25,10,6,8,MODERATE
JIOFIN,100,25,20,25,25,6,20,STRONG
JSWENERGY,71,18,14,18,10,12,8,MODERATE
JSWSTEEL,48,10,8,18,10,12,8,WEAK
KOTAKBANK,83,25,20,8,25,6,20,MODERATE
LICI,70,10,8,25,25,12,20,MODERATE
LODHA,71,18,14,25,10,6,8,MODERATE
LT,70,10,8,25,25,20,20,MODERATE
LTIM,78,18,14,25,25,20,20,MODERATE
M&M,48,10,8,18,10,12,8,WEAK
MARUTI,70,10,8,25,25,12,20,MODERATE
MOTHERSON,70,10,8,25,25,12,20,MODERATE
NAUKRI,78,25,20,25,10,20,8,MODERATE
NESTLEIND,86,18,14,25,25,20,20,STRONG
NHPC,100,25,20,25,25,20,20,STRONG
NTPC,79,18,14,18,25,20,20,MODERATE
ONGC,70,10,8,25,25,20,20,MODERATE
PFC,68,25,20,8,10,12,8,MODERATE
PIDILITIND,86,18,14,25,25,20,20,STRONG
PNB,53,10,8,8,10,12,8,WEAK
POWERGRID,93,25,20,18,25,20,20,STRONG
RECLTD,68,25,20,8,10,20,8,MODERATE
RELIANCE,70,10,8,25,25,12,20,MODERATE
SBILIFE,55,10,8,25,10,12,8,WEAK
SBIN,93,18,14,25,25,12,20,STRONG
SHREECEM,78,10,8,25,25,12,20,MODERATE
SHRIRAMFIN,68,25,20,8,10,12,8,MODERATE
SUNPHARMA,86,18,14,25,25,20,20,STRONG
TATACONSUM,70,10,8,25,25,20,20,MODERATE
TATAMOTORS,63,10,8,18,25,6,20,WEAK
TATAPOWER,63,10,8,18,25,12,20,WEAK
TATASTEEL,70,10,8,25,25,6,20,MODERATE
TCS,86,18,14,25,25,20,20,STRONG
TECHM,70,10,8,25,25,20,20,MODERATE
TITAN,63,10,8,18,25,12,20,WEAK
TORNTPHARM,86,18,14,25,25,20,20,STRONG
TRENT,78,18,14,25,25,6,20,MODERATE
TVSMOTOR,38,10,8,8,10,12,8,WEAK
ULTRACEMCO,70,10,8,25,25,12,20,MODERATE
UNIONBANK,76,18,14,8,25,12,20,MODERATE
UNITDSPR,78,18,14,25,25,20,20,MODERATE
VEDL,61,10,8,8,25,20,20,WEAK
WIPRO,78,18,14,25,25,6,20,MODERATE
ZOMATO,70,10,8,25,25,6,20,MODERATE
ZYDUSLIFE,93,25,20,25,25,6,20,STRONG
INDIGO,93,18,14,25,25,6,20,STRONG
