symbol,year,fiscal_year,sales,expenses,operating_profit,opm_percentage,net_profit,eps,dividend_payout,net_profit_margin_pct,expense_ratio_pct,interest_coverage
ABB,Mar 2014,2014,2276,2009,267.0,12.0,198,93.0,25.0,8.699472759226714,88.2688927943761,
ABB,Mar 2015,2015,2289,1977,312.0,14.0,229,108.0,29.0,10.004368719965049,86.36959370904324,
ABB,Mar 2016,2016,2614,2250,365.0,14.0,255,120.0,29.0,9.755164498852334,86.07498087222648,121.66666666666667
ABB,Mar 2017,2017,2903,2505,398.0,14.0,277,130.0,31.0,9.541853255253187,86.29004478126076,199.0
ABB,Mar 2018,2018,3298,2774,525.0,16.0,401,189.0,29.0,12.15888417222559,84.11158277744087,131.25
ABB,Mar 2019,2019,3679,3074,605.0,16.0,450,212.0,31.0,12.231584669747214,83.55531394400653,302.5
ABB,Mar 2020,2020,4093,3336,757.0,18.0,593,279.0,90.0,14.488150500855118,81.50500855118496,84.11111111111111
ABB,Mar 2021,2021,4310,3388,922.0,21.0,691,325.0,85.0,16.03248259860789,78.60788863109049,51.22222222222222
ABB,Mar 2022,2022,4913,3832,1082.0,22.0,799,376.0,73.0,16.26297577854671,77.99715041726033,56.94736842105263
ABB,Mar 2023,2023,5349,4143,1206.0,23.0,949,447.0,73.0,17.74163395027108,77.45372966909703,75.375
ABB,Mar 2024,2024,5849,4396,1453.0,25.0,1201,565.0,73.0,20.533424517011454,75.15814669174217,121.08333333333333
ADANIENSOL,Mar 2014,2014,0,0,0.0,,0,0.0,,,,
ADANIENSOL,Mar 2015,2015,131,29,101.0,78.0,-7,0.0,0.0,-5.343511450381679,22.137404580152673,1.3835616438356164
ADANIENSOL,Mar 2016,2016,2194,267,1927.0,88.0,368,3.0,0.0,16.773017319963536,12.169553327256153,2.013584117032393
ADANIENSOL,Mar 2017,2017,2876,893,1983.0,69.0,416,4.0,0.0,14.464534075104313,31.050069541029206,2.1935840707964602
ADANIENSOL,Mar 2018,2018,3944,1118,2826.0,72.0,1143,10.0,0.0,28.98073022312373,28.346855983772816,3.1896162528216703
ADANIENSOL,Mar 2019,2019,7305,4528,2778.0,38.0,559,5.0,0.0,7.652292950034223,61.98494182067077,1.9971243709561466
ADANIENSOL,Mar 2020,2020,11416,7158,4258.0,37.0,706,7.0,0.0,6.184302733006307,62.70147161878066,1.902591599642538
ADANIENSOL,Mar 2021,2021,9926,5976,3950.0,40.0,1290,11.0,0.0,12.996171670360667,60.20552085432198,1.8658478979688238
ADANIENSOL,Mar 2022,2022,11258,7051,4206.0,37.0,1236,11.0,0.0,10.978859477704743,62.63101794279623,1.7784355179704017
ADANIENSOL,Mar 2023,2023,13293,8775,4518.0,34.0,1281,11.0,0.0,9.636650868878357,66.01218686526742,1.6245954692556634
ADANIENSOL,Mar 2024,2024,16607,10896,5711.0,30.0,1196,10.0,0.0,7.201782380923707,65.61088697537183,2.063968196602819
ADANIENT,Mar 2013,2013,46375,40354,6021.0,13.0,1218,15.0,10.0,2.6264150943396225,87.0167115902965,1.7242268041237114
ADANIENT,Mar 2014,2014,54947,45564,9383.0,17.0,2646,20.0,7.0,4.815549529546654,82.92354450652446,1.6452744169735227
ADANIENT,Mar 2015,2015,64465,52015,12450.0,19.0,2298,18.0,8.0,3.564725044597844,80.68719460172187,1.7644557823129252
ADANIENT,Mar 2016,2016,34008,32325,1684.0,5.0,1000,9.0,4.0,2.9404845918607387,95.05116443189837,1.2409727339719971
ADANIENT,Mar 2017,2017,36533,34631,1902.0,5.0,925,9.0,4.0,2.5319574083705145,94.79374811813976,1.5131264916467781
ADANIENT,Mar 2018,2018,35924,33886,2038.0,6.0,594,7.0,6.0,1.653490702594366,94.32691237056007,1.6304
ADANIENT,Mar 2019,2019,40379,38409,1969.0,5.0,506,7.0,6.0,1.2531266252259838,95.12122638004904,1.2116923076923076
ADANIENT,Mar 2020,2020,43403,41108,2294.0,5.0,1040,10.0,10.0,2.3961477317236133,94.71234707278299,1.4592875318066159
ADANIENT,Mar 2021,2021,39537,37031,2506.0,6.0,1046,8.0,12.0,2.645623087234742,93.66163340668234,1.8198983297022513
ADANIENT,Mar 2022,2022,69420,65707,3714.0,5.0,788,7.0,14.0,1.135119562085854,94.65139729184673,1.4703087885985748
ADANIENT,Mar 2023,2023,127540,118722,8818.0,7.0,2422,22.0,6.0,1.899012074643249,93.08609063823114,2.2217183169564123
ADANIENT,Mar 2024,2024,96421,85044,11377.0,12.0,3335,28.0,5.0,3.458790097592848,88.2007031663227,2.497694840834248
ADANIGREEN,Mar 2017,2017,502,98,403.0,80.0,-47,0.0,0.0,-9.362549800796813,19.52191235059761,1.2065868263473054
ADANIGREEN,Mar 2018,2018,1480,637,843.0,57.0,-138,-1.0,0.0,-9.324324324324325,43.04054054054054,1.5271739130434783
ADANIGREEN,Mar 2019,2019,2058,532,1526.0,74.0,-475,-3.0,0.0,-23.080660835762874,25.850340136054424,1.3612845673505798
ADANIGREEN,Mar 2020,2020,2549,1098,1450.0,57.0,-68,0.0,0.0,-2.6677128285602194,43.0757159670459,1.4572864321608041
ADANIGREEN,Mar 2021,2021,3124,883,2241.0,72.0,182,1.0,0.0,5.8258642765685025,28.26504481434059,1.1474654377880185
ADANIGREEN,Mar 2022,2022,5133,1621,3512.0,68.0,489,3.0,0.0,9.526592635885448,31.579972725501655,1.3419946503630111
ADANIGREEN,Mar 2023,2023,7776,2806,4970.0,64.0,973,6.0,0.0,12.512860082304528,36.08539094650205,1.7073170731707317
ADANIGREEN,Mar 2024,2024,9220,1902,7318.0,79.0,1260,7.0,0.0,13.665943600867678,20.629067245119305,1.4618457850579305
ADANIPORTS,Mar 2013,2013,3577,1195,2382.0,67.0,1639,8.0,12.0,45.820519988817445,33.407883701425774,4.394833948339484
ADANIPORTS,Mar 2014,2014,4830,1910,2919.0,60.0,1741,8.0,12.0,36.04554865424431,39.54451345755693,2.9877175025588536
ADANIPORTS,Mar 2015,2015,6152,2250,3902.0,63.0,2324,11.0,10.0,37.77633289986996,36.57347204161248,3.3208510638297875
