symbol,sector,sub_sector
ABB,PHARMA,Healthcare
ADANIENSOL,POWER,Power Transmission
ADANIENT,ENERGY,Diversified Energy
ADANIGREEN,POWER,Renewable Energy
ADANIPORTS,PORTS,Ports & Logistics
ADANIPOWER,POWER,Power Generation
AMBUJACEM,CEMENT,Cement
APOLLOHOSP,HEALTHCARE,Hospitals
ASIANPAINT,PAINT,Paints
ATGL,ENERGY,Gas Distribution
AXISBANK,BANKING,Private Bank
BAJAJ-AUTO,AUTO,Two Wheelers
BAJAJFINSV,NBFC,Financial Services
BAJAJHLDNG,HOLDING COMPANY,Investment Holding
BAJFINANCE,NBFC,Consumer Finance
BANKBARODA,BANKING,Public Bank
BEL,DEFENCE,Defence Electronics
BHARTIARTL,TELECOM,Telecom Services
BHEL,POWER,Heavy Electrical Equipment
BOSCHLTD,AUTO,Auto Components
BPCL,ENERGY,Oil & Gas
BRITANNIA,FMCG,Food Products
CANBK,BANKING,Public Bank
CHOLAFIN,NBFC,Vehicle Finance
CIPLA,PHARMA,Pharmaceuticals
COALINDIA,METALS,Mining
DABUR,FMCG,Consumer Goods
DIVISLAB,PHARMA,Pharmaceuticals
DLF,REAL ESTATE,Real Estate
DMART,CONSUMER GOODS,Retail
DRREDDY,PHARMA,Pharmaceuticals
EICHERMOT,AUTO,Automobiles
GAIL,ENERGY,Gas Utility
GODREJCP,FMCG,Consumer Goods
GRASIM,CEMENT,Diversified Cement
HAL,DEFENCE,Aerospace & Defence
HAVELLS,CONSUMER GOODS,Electrical Products
HCLTECH,IT,IT Services
HDFCBANK,BANKING,Private Bank
HDFCLIFE,INSURANCE,Life Insurance
HEROMOTOCO,AUTO,Two Wheelers
HINDALCO,METALS,Metals
HINDUNILVR,FMCG,Consumer Goods
ICICIBANK,BANKING,Private Bank
ICICIGI,INSURANCE,General Insurance
ICICIPRULI,INSURANCE,Life Insurance
INDIGO,AVIATION,Airlines
INDUSINDBK,BANKING,Private Bank
INFY,IT,IT Services
IOC,ENERGY,Oil & Gas
IRCTC,TRANSPORT,Railway Services
IRFC,NBFC,Railway Finance
ITC,FMCG,Consumer Goods
JINDALSTEL,METALS,Steel
JIOFIN,NBFC,Financial Services
JSWENERGY,POWER,Power Generation
JSWSTEEL,METALS,Steel
KOTAKBANK,BANKING,Private Bank
LICI,INSURANCE,Life Insurance
LODHA,REAL ESTATE,Real Estate
LT,INFRASTRUCTURE,Engineering & Construction
LTIM,IT,IT Services
M&M,AUTO,Automobiles
MARUTI,AUTO,Passenger Vehicles
MOTHERSON,AUTO,Auto Components
NAUKRI,IT,Internet Services
NESTLEIND,FMCG,Food Products
NHPC,POWER,Hydro Power
NTPC,POWER,Power Generation
ONGC,ENERGY,Oil Exploration
PFC,NBFC,Power Finance
PIDILITIND,CHEMICALS,Adhesives
PNB,BANKING,Public Bank
POWERGRID,POWER,Power Transmission
RECLTD,NBFC,Power Finance
RELIANCE,ENERGY,Conglomerate
SBILIFE,INSURANCE,Life Insurance
SBIN,BANKING,Public Bank
SHREECEM,CEMENT,Cement
SHRIRAMFIN,NBFC,Retail Finance
SIEMENS,INDUSTRIALS,Industrial Equipment
SUNPHARMA,PHARMA,Pharmaceuticals
TATACONSUM,FMCG,Consumer Goods
TATAMOTORS,AUTO,Automobiles
TATAPOWER,POWER,Power Generation
TATASTEEL,METALS,Steel
TCS,IT,IT Services
TECHM,IT,IT Services
TITAN,CONSUMER GOODS,Jewellery & Lifestyle
TORNTPHARM,PHARMA,Pharmaceuticals
TRENT,CONSUMER GOODS,Retail
TVSMOTOR,AUTO,Two Wheelers
